id,baseMean,CK,RH,foldChange(RH/CK),log2FoldChange,pval,padj, 
406130,22489.409848904,180.081875415241,44798.7378223928,248.768721000343,7.95866128901117,8.45539885509506e-31,8.73442701731319e-27, 
724281,82.1103918334764,19.3559621737099,144.864821493243,7.48424801583898,2.90385736794431,2.08136476225031e-08,9.29399188887022e-05, 
406135,139.317974304446,0.265885714436861,278.370062894454,1046.95381428835,10.0319820847466,2.69912639560607e-08,9.29399188887022e-05,
406134,168.817522892087,0.797657143310583,336.837388640863,422.283422728289,8.72206780320068,1.1693750653168e-06,0.00301991110618063,
107965748,169.741695246295,64.4319398122913,275.0514506803,4.26886807197802,2.09385357723907,2.10246624382031e-06,0.00434369525973276,
406141,1140.46227053142,2.36136301035455,2278.56317805248,964.935576639853,9.91428881467898,5.6561270529603e-06,0.00973796540951331,
406145,402.040977145165,3.72240000211606,800.359554288213,215.011700470996,7.74827136006472,1.03867122499863e-05,0.0153278196489083,
678674,153.625746704411,2.33762254990164,304.913870858921,130.437598179291,7.02721597106476,0.000134032611089735,0.17306960906962,
413428,4674.14154954883,2730.85490658263,6617.42819251503,2.42320753715767,1.27691797061927,0.000218608961210652,0.25091450770067,
100577242,669.535673168561,395.337695814759,943.733650522363,2.38715827130374,1.25529422190999,0.000300394891590298,0.310307923012778,
552311,498.543646922494,255.667390218556,741.419903626432,2.89993926481056,1.53602268531808,0.000531938084491818,0.441307043565919,
551719,1709.98149066797,2364.01145306111,1055.95152827483,0.446677839444264,-1.16269341337563,0.00053361779427091,0.441307043565919, 
724642,854.930475118838,1173.58889732831,536.272052909368,0.456950516599296,-1.12989015131532,0.000555371884448881,0.441307043565919, 
102656294,48.8006392385612,21.3981164149959,76.2031620621266,3.56120887391393,1.83236705589823,0.000757151839522775,0.558669893019305, 
408380,6405.54802069995,3673.07382153192,9138.02221986798,2.48784061085296,1.3148940589018,0.000840442742950483,0.578784902311899, 
725922,894.873573680551,553.624328974872,1236.12281838623,2.23278268979818,1.1588428447087,0.00106322040474865,0.664565354252253, 
724917,27.0336962263835,9.11234721672477,44.9550452360423,4.93342101292321,2.30258841065261,0.00109366999247709,0.664565354252253, 
724520,81.2356036935586,119.586532399598,42.8846749875189,0.358607897787518,-1.47952083319134,0.00143262583040985,0.783466079443862, 
100578329,731.784537381791,1120.93876149783,342.630313265748,0.305663721368609,-1.70998276316455,0.00147163038930877,0.783466079443862, 
726247,819.964632352072,526.979890293077,1112.94937441107,2.11193898460168,1.07856815482698,0.00151687527481871,0.783466079443862, 
724456,162.827131855792,94.4208428727698,231.233420838814,2.4489658618108,1.29217266310583,0.00169325638490109,0.832920878858489, 
552217,161.96638800625,95.4911055620487,228.441670450451,2.39228218278416,1.25838757335388,0.0019614726200907,0.921000552978951, 
551458,1698.03088227122,2272.56809863954,1123.49366590289,0.494371837119189,-1.01633153531368,0.00267467483048837,1, 
412569,489.039517854772,296.575523956241,681.503511753304,2.29790881817293,1.20032155247505,0.00296404593820739,1, 
100576948,250.963394399669,151.587233641513,350.339555157825,2.31114155685655,1.20860562723112,0.00311079400462762,1, 
410928,77.9230238488076,5.4861065637077,150.359941133907,27.4074043928685,4.77649379967091,0.00316494841749261,1, 
100576555,393.295806603038,569.373459445291,217.218153760784,0.381503826982746,-1.39023056563532,0.00316730423877778,1, 
410954,5152.65982828743,3526.1541169289,6779.16553964595,1.92253807259855,0.943012168592956,0.00322061620295249,1, 
413060,286.129003588797,176.862243541598,395.395763635997,2.23561431608211,1.16067131865089,0.00330035909208786,1, 
724560,2706.59316904181,3634.57159649129,1778.61474159232,0.489360216018125,-1.0310312768505,0.00399795411429831,1, 
724867,91.6362373228881,127.163471632785,56.109003012991,0.441235224963181,-1.18038012523835,0.00428592005140268,1, 
411124,1589.37507830173,855.584067716877,2323.16608888659,2.71529844529007,1.44111077698979,0.00430623314831913,1, 
551866,5294.62366436037,3716.92397768988,6872.32335103085,1.84892760580541,0.88668873756514,0.00472434089918948,1, 
100578995,1169.62183242978,1810.2490919535,528.994572906052,0.292221979426707,-1.77486340060165,0.00511462936594676,1, 
807691,11.8385200398747,21.435566968299,2.24147311145034,0.104567941438883,-3.2574874786392,0.00547494668871176,1, 
724749,1976.92252139654,950.631125627236,3003.21391716584,3.15917902980958,1.65954969653392,0.00562457092598775,1, 
100576134,737.854644855274,496.562950180666,979.146339529883,1.97184735424509,0.979547873319605,0.00649222142431202,1, 
100576418,59.2763432201542,31.0298096784169,87.5228767618914,2.82060630306633,1.49600531028673,0.006634291099433,1, 
550667,6770.79067428529,4740.54126268646,8801.04008588413,1.85654751181231,0.892622236377091,0.00673696342153998,1, 
552811,6872.40735901092,9875.12158722314,3869.69313079869,0.391862833952897,-1.35157934719478,0.00676228968247319,1, 
100576169,2136.26310515538,1210.10722136204,3062.41898894873,2.5307005320585,1.33953679765971,0.00690895430101924,1, 
724916,358.506526669612,473.152742042439,243.860311296785,0.515394479685615,-0.956251010101235,0.00720611394583553,1, 
107964962,214.14256596572,112.005928344053,316.279203587388,2.82377199370966,1.4976236024815,0.00748280930898877,1, 
410751,42.7414905583127,21.565174599599,63.9178065170263,2.96393642545398,1.5675145030871,0.00813049259621474,1, 
807692,1359.68427224727,1964.14681905896,755.221725435582,0.38450370313835,-1.3789306021005,0.00848075073079978,1, 
408970,166.383798911949,104.627972177643,228.139625646255,2.1804840607912,1.12464844444312,0.00886593016684913,1, 
725668,136.905141478618,25.652101883211,248.158181074026,9.6739901550306,3.27411106959112,0.00899093326869675,1, 
