id,baseMean,CK,TH,foldChange(TH/CK),log2FoldChange,pval,padj, 
411700,14776.6421613488,672.995285104403,28880.2890375932,42.9130629542418,5.42334497316289,6.34817032244366e-29,6.57035628372918e-25, 
724367,59163.98933797,855.037989902939,117472.940686037,137.389147702516,7.10212424069858,3.97530667670711e-25,2.05722120519593e-21, 
410620,114552.353423951,8964.73364183674,220139.973206065,24.5562201846927,4.61801660590231,7.65589342022519e-23,2.64128322997769e-19, 
724449,87521.8311889743,7595.71946478158,167447.942913167,22.0450404585844,4.46238221957727,1.15212471069914e-21,2.98112268893402e-18, 
408928,143748.057494483,14086.2310594519,273409.883929515,19.4097259072047,4.27870784018734,2.33631598770153e-20,4.10742814416843e-17, 
724488,152436.771586519,14952.5526715292,289920.99050151,19.3893977082282,4.27719608467308,2.38111776473532e-20,4.10742814416843e-17, 
727486,35909.2159002329,3706.7503242998,68111.6814761661,18.3750389201173,4.19967540060783,3.88888788404047e-20,5.74999851425984e-17, 
724274,18282.4727633482,796.585584293262,35768.3599424031,44.9020929422633,5.48871078722688,2.45970614075818e-19,3.1822448196059e-16, 
807692,997.942688795948,1894.79969420966,101.085683382236,0.0533490076503312,-4.22839475417509,3.16822329299775e-19,3.64345678694742e-16, 
411071,19100.1008094925,2262.30750145897,35937.894117526,15.8855036701905,3.98963892815352,9.40652510764524e-19,9.73575348641282e-16, 
412197,89397.0474000835,8952.05684810196,169842.037952065,18.9724038658306,4.24583057941414,7.57444797097674e-17,7.12686695450993e-14, 
408699,16213.7507360901,3031.14985201278,29396.3516201673,9.69808589326166,3.27770003134137,2.20346057823268e-13,1.90048474872568e-10, 
410087,68265.0683945229,5795.02531216633,130735.11147688,22.5598861841739,4.49568788416919,3.7937481997884e-13,3.02040722060077e-10, 
725007,41.3329834707099,3.51825136454759,79.1477155768722,22.4963220008726,4.49161724455881,1.39142506142979e-10,1.02866067041416e-07, 
807701,72.5385179202977,142.363520188995,2.71351565160004,0.0190604703227182,-5.71327247116267,2.48257322029174e-10,1.53759197295603e-07, 
411959,219.777525699232,48.1268547930101,391.428196605455,8.13325945127637,3.02383363665584,2.50499409946223e-10,1.53759197295603e-07, 
408706,9622.5537669452,2446.20742378195,16798.9001101084,6.86732447411862,2.77974813110312,2.52551338553165e-10,1.53759197295603e-07, 
100577725,986.54671929028,1721.76853204649,251.324906534075,0.145969043954678,-2.77626564953778,2.40948630380873e-09,1.38545462469002e-06, 
102653614,214.070663692572,52.2289062398114,375.912421145333,7.19740174950848,2.84747618994163,7.27497796400055e-09,3.96294852249504e-06, 
552631,40.903985354874,5.17301083617034,76.6349598735777,14.8143822428781,3.88892656231256,8.24246121943549e-09,4.26547368105786e-06, 
410331,1149.20604990379,354.799930690478,1943.6121691171,5.47805115219338,2.45366273750572,8.74394771393242e-09,4.30951708758098e-06, 
807693,21907.4296669305,37115.5328613929,6699.32647246813,0.180499266910342,-2.46993511720407,2.07059896375375e-08,9.74122694311425e-06, 
409418,201498.179065641,64885.9802696324,338110.37786165,5.21083871210142,2.38151560060471,2.64834778133428e-08,1.19175650160043e-05, 
807698,4006.11834139107,6752.6343805456,1259.60230223653,0.186534947881298,-2.4224821458457,4.04977636651301e-08,1.74646605805874e-05, 
408923,1239.9175263296,406.399226196268,2073.43582646293,5.10196794878142,2.35105383577313,8.49575008935287e-08,3.51724053699209e-05, 
807696,67.2063912622682,119.221887187115,15.190895337421,0.127417001154992,-2.97237030673128,1.70232025115804e-07,6.77654407672528e-05, 
410857,32868.5780262114,11465.9621583607,54271.1938940621,4.73324376484959,2.24282922363632,2.84592918935155e-07,0.000109093952258476, 
411552,236.922124761098,60.4204152705257,413.42383425167,6.84245271073711,2.77451355893319,3.48320965258329e-07,0.000128754356800847, 
100577428,240.152736878416,81.0467354791698,399.258738277663,4.92627785582157,2.300498002159,4.01553221963956e-07,0.000143312960252653, 
724767,183.302015069528,306.495546423336,60.1084837157204,0.196115357685158,-2.35022557828303,6.02652157659279e-07,0.000207914994392451, 
409664,937.782082293266,349.196917432383,1526.36724715415,4.37107881242882,2.12798939076947,9.24042331450123e-07,0.000308510907435767, 
100576387,16.2573440186006,0.991885558793796,31.5228024784074,31.7806849781556,4.99007831472604,1.15310545056708e-06,0.000372957544167791, 
551367,968.860107102672,397.739392148369,1539.98082205698,3.87183379986289,1.95301702563426,1.71502835460856e-06,0.000537895256672684, 
725450,24.0039618792842,3.98556385155594,44.0223599070124,11.045453428083,3.46538073902371,1.80799767659526e-06,0.000550375763316498, 
807697,25.9634335424453,47.8248185541694,4.10204853072116,0.0857723804236689,-3.54334302970287,2.51251453398055e-06,0.000742986440762821, 
408681,93.2450021326974,29.7541184792342,156.735885786161,5.26770389435495,2.39717425179185,4.02203307773623e-06,0.00115633450984916, 
102656667,19.6397454961856,3.00110061372974,36.2783903786415,12.0883619205139,3.59554685483714,4.55145519636473e-06,0.00127317733195608, 
807691,10.3276880381767,20.6553760763533,0,0,-Inf,4.99916709759763e-06,0.00136161524895093, 
725041,83.1238038628551,23.7105696810093,142.537038044701,6.0115399993474,2.58773461902633,9.16260067885126e-06,0.00243161325707976, 
807700,7962.37517063165,13183.7461743999,2741.00416686343,0.207907838227795,-2.26598394535292,1.03860244948957e-05,0.00268738383805426, 
412287,2962.4764392633,1308.43220320822,4616.52067531837,3.52828420456089,1.81896677518016,1.12548777382384e-05,0.00277372599584586, 
102654160,46.6607522448468,12.7472670131271,80.5742374765665,6.32090293500491,2.66013066074534,1.12556996932876e-05,0.00277372599584586, 
