id,baseMean,CK,T,foldChange(T/CK),log2FoldChange,pval,padj, 
724367,84604.4442896299,832.625461749701,168376.26311751,202.223293488623,7.65980537625895,3.36536635715864e-82,3.48180803311633e-78, 
724274,25451.9377162438,775.817173268324,50128.0582592192,64.6132361933189,6.01375782999876,8.66808806927051e-59,4.48400195823364e-55, 
724488,182598.845810459,14559.4147448951,350638.276876024,24.0832672892271,4.58995922544865,6.70430991978946e-40,2.31209301433806e-36, 
724449,105535.920403542,7395.16925951658,203676.671547567,27.5418539319384,4.78355377013336,7.58120435309673e-37,1.96087850592847e-33, 
727486,43031.8018965775,3607.63261493363,82455.9711782215,22.8559778611876,4.51449963884821,1.54650337770265e-32,3.20002478914232e-29, 
807692,976.32087469775,1845.29475941387,107.346989981634,0.0581733565513033,-4.10349764097737,5.58052785384104e-30,9.62269019597324e-27, 
411700,17386.5513608978,655.298066312404,34117.8046554832,52.0645587243623,5.70222973319663,1.81384330328324e-28,2.68086040225263e-25, 
411071,19285.3434250902,2201.87049399803,36368.8163561825,16.517236801764,4.04590045078371,5.91977824952494e-24,7.65575322119813e-21, 
408699,15854.4890602623,2952.56122150809,28756.4168990165,9.73948200956474,3.28384504519219,4.53216085504211e-23,5.20997068958507e-20, 
412197,101509.376817843,8717.65882982962,194301.094805856,22.2882196468858,4.47820947554108,1.08710240132698e-19,1.12471614441289e-16, 
725007,60.8242142580046,3.42352334353678,118.224905172472,34.5331091127705,5.10990832481131,8.56521939654821e-19,8.05597817060798e-16, 
410087,104374.293516056,5645.25497553845,203103.332056574,35.9777074616903,5.16903135432209,9.25016646930376e-18,7.97518519095139e-15, 
724767,165.268265009898,298.346554779274,32.1899752405221,0.10789457670908,-3.21230574490436,3.55196807993418e-15,2.82682013499992e-12, 
725361,162.47510432564,27.7251846319482,297.225024019332,10.7203983657817,3.42228661165873,5.83261978974574e-15,4.3103060246221e-12, 
410857,37478.5441418687,11166.3611746159,63790.7271091216,5.71275871446242,2.51418759717205,1.00408715926008e-14,6.92552383313654e-12, 
807693,21158.0808041109,36121.9314184268,6194.23018979494,0.171481145845792,-2.54387813242554,1.13041826768177e-14,7.30956712339723e-12, 
102653614,232.753049258844,50.8201438272661,414.685954690421,8.15987369299678,3.02854682083678,2.61290624058997e-14,1.59018399794964e-11, 
410452,52.2941835139931,4.97650349118538,99.6118635368008,20.0164359802496,4.32311321334935,4.19130977806917e-14,2.40907172021687e-11, 
807698,3912.08329145828,6572.2347703092,1251.93181260735,0.190487993256584,-2.39222802953144,6.39853991054286e-14,3.48417336391981e-11, 
724239,1116.87551560497,1876.03264916915,357.718382040786,0.190678121832906,-2.39078877474943,1.04605444273961e-13,5.41123963229198e-11, 
413565,137.538883846656,30.5190490739663,244.558718619345,8.01331384954458,3.0023989824117,1.45663111983908e-12,7.17633598374055e-10, 
408706,12922.6797632554,2382.01880806671,23463.3407184442,9.85019120713301,3.30015172973705,1.52711078413018e-12,7.18158553300493e-10, 
408928,176535.253508953,13713.2412278499,339357.265790055,24.7466853496942,4.62916339382489,1.67943001207032e-12,7.55451430646934e-10, 
726391,199.273118045962,53.0720547717272,345.474181320197,6.50953091615063,2.70255358496907,2.75609568884876e-12,1.18810691653455e-09, 
408923,1430.38102671795,395.796504538822,2464.96554889708,6.22786083411533,2.63873670675239,3.40517825697646e-12,1.40919896986714e-09, 
807696,62.6117337096848,116.085938296054,9.1375291233154,0.0787134881057854,-3.66724531698992,9.15257190801255e-12,3.64201957539607e-09, 
410620,143578.606948025,8725.76897469573,278431.444921355,31.9091011610314,4.99589606518474,1.25112824040715e-11,4.7941380649083e-09, 
410632,127.333256233246,31.1533507510902,223.513161715403,7.17461063823385,2.84290053972822,2.61617069338796e-11,9.66675071206853e-09, 
725393,2039.02715490174,829.093479043911,3248.96083075957,3.91869060953921,1.9703716730413,1.51709791688338e-10,5.41237760278465e-08, 
724561,293.231127092982,100.076676857489,486.385577328475,4.86012917896043,2.28099466020324,1.72047141941303e-10,5.9333324350824e-08, 
413912,773.609669942416,279.721600564277,1267.49773932055,4.53128302127421,2.17991960354982,1.81130434665508e-10,6.04508218403016e-08, 
100577235,27.2871769427447,1.59233656397779,52.9820173215117,33.2731273777688,5.05628556797182,2.06028540332886e-10,6.66116024463762e-08, 
107964907,143.718235053386,34.6804835773509,252.755986529422,7.28813328008181,2.86554934233905,2.13753955930106e-10,6.70151038803903e-08, 
724675,2215.25548158771,864.894463523569,3565.61649965186,4.12260298802883,2.04355553452692,2.77267581990128e-10,8.43708942138196e-08, 
102654161,58.2013435452887,9.74496897787706,106.6577181127,10.9449007333768,3.45218696469955,3.95907057969122e-10,1.17030126335673e-07, 
807702,260.658831619371,466.807089915761,54.5105733229804,0.116773233527403,-3.09821847377436,4.39257904586681e-10,1.26237841134828e-07, 
107964337,40.22088718989,5.58689908437171,74.8548752954082,13.3982866282301,3.74397661564501,5.18759838615224e-10,1.4505646730576e-07, 
100577725,1022.75353302147,1675.67147669023,369.835589352709,0.220708888643974,-2.17978336221431,7.14085767673422e-10,1.94419246114453e-07, 
807701,71.1069260330118,138.716760094351,3.49709197167299,0.025210306017055,-5.30984255921777,8.98834894161176e-10,2.38444764486962e-07, 
551367,1037.23650407591,387.029194602696,1687.44381354913,4.35999102155942,2.12432516409279,1.04100485034047e-09,2.69255904540563e-07, 
102655497,17.4847463010419,0.241849532785363,34.7276430692984,143.591937802578,7.16583093880504,1.37590340047813e-09,3.47197477593822e-07, 
